_id,co_uf,no_uf,ano,variavel,idh_categoria,idh_subcategoria,valor
143,13,Amazonas,2018,IDH,Renda,Total,0.655
144,13,Amazonas,2018,IDH,Total,Total,0.718
145,13,Amazonas,2019,IDH,Educação,Total,0.735
146,13,Amazonas,2019,IDH,Longevidade,Total,0.792
147,13,Amazonas,2019,IDH,Renda,Total,0.658
148,13,Amazonas,2019,IDH,Total,Total,0.726
149,13,Amazonas,2020,IDH,Educação,Total,0.748
150,13,Amazonas,2020,IDH,Longevidade,Total,0.783
151,13,Amazonas,2020,IDH,Renda,Total,0.657
152,13,Amazonas,2020,IDH,Total,Total,0.727
153,13,Amazonas,2021,IDH,Educação,Total,0.72
154,13,Amazonas,2021,IDH,Longevidade,Total,0.744
155,13,Amazonas,2021,IDH,Renda,Total,0.641
156,13,Amazonas,2021,IDH,Total,Total,0.7
157,14,Roraima,1991,IDH,Educação,Total,0.24
158,14,Roraima,1991,IDH,Longevidade,Total,0.628
159,14,Roraima,1991,IDH,Renda,Total,0.643
160,14,Roraima,1991,IDH,Total,Total,0.459
161,14,Roraima,2000,IDH,Educação,Total,0.457
162,14,Roraima,2000,IDH,Longevidade,Total,0.717
163,14,Roraima,2000,IDH,Renda,Total,0.652
164,14,Roraima,2000,IDH,Total,Total,0.598
165,14,Roraima,2010,IDH,Educação,Total,0.628
166,14,Roraima,2010,IDH,Longevidade,Total,0.809
167,14,Roraima,2010,IDH,Renda,Total,0.695
168,14,Roraima,2010,IDH,Total,Total,0.707
169,14,Roraima,2012,IDH,Educação,Total,0.746
170,14,Roraima,2012,IDH,Longevidade,Total,0.752
171,14,Roraima,2012,IDH,Renda,Total,0.717
172,14,Roraima,2012,IDH,Total,Total,0.738
173,14,Roraima,2013,IDH,Educação,Total,0.735
174,14,Roraima,2013,IDH,Longevidade,Total,0.757
175,14,Roraima,2013,IDH,Renda,Total,0.723
176,14,Roraima,2013,IDH,Total,Total,0.738
177,14,Roraima,2014,IDH,Educação,Total,0.757
178,14,Roraima,2014,IDH,Longevidade,Total,0.763
179,14,Roraima,2014,IDH,Renda,Total,0.712
180,14,Roraima,2014,IDH,Total,Total,0.744
181,14,Roraima,2015,IDH,Educação,Total,0.758
182,14,Roraima,2015,IDH,Longevidade,Total,0.768
183,14,Roraima,2015,IDH,Renda,Total,0.719
184,14,Roraima,2015,IDH,Total,Total,0.748
185,14,Roraima,2016,IDH,Educação,Total,0.771
186,14,Roraima,2016,IDH,Longevidade,Total,0.774
187,14,Roraima,2016,IDH,Renda,Total,0.714
188,14,Roraima,2016,IDH,Total,Total,0.752
189,14,Roraima,2017,IDH,Educação,Total,0.764
190,14,Roraima,2017,IDH,Longevidade,Total,0.779
191,14,Roraima,2017,IDH,Renda,Total,0.697
192,14,Roraima,2017,IDH,Total,Total,0.746
193,14,Roraima,2018,IDH,Educação,Total,0.774
194,14,Roraima,2018,IDH,Longevidade,Total,0.784
195,14,Roraima,2018,IDH,Renda,Total,0.723
196,14,Roraima,2018,IDH,Total,Total,0.76
197,14,Roraima,2019,IDH,Educação,Total,0.767
198,14,Roraima,2019,IDH,Longevidade,Total,0.788
199,14,Roraima,2019,IDH,Renda,Total,0.696
200,14,Roraima,2019,IDH,Total,Total,0.749
201,14,Roraima,2020,IDH,Educação,Total,0.759
202,14,Roraima,2020,IDH,Longevidade,Total,0.783
203,14,Roraima,2020,IDH,Renda,Total,0.68
204,14,Roraima,2020,IDH,Total,Total,0.739
205,14,Roraima,2021,IDH,Educação,Total,0.673
206,14,Roraima,2021,IDH,Longevidade,Total,0.745
207,14,Roraima,2021,IDH,Renda,Total,0.68
208,14,Roraima,2021,IDH,Total,Total,0.699
209,15,Pará,1991,IDH,Educação,Total,0.194
210,15,Pará,1991,IDH,Longevidade,Total,0.64
211,15,Pará,1991,IDH,Renda,Total,0.567
212,15,Pará,1991,IDH,Total,Total,0.413
213,15,Pará,2000,IDH,Educação,Total,0.319
214,15,Pará,2000,IDH,Longevidade,Total,0.725
215,15,Pará,2000,IDH,Renda,Total,0.601
216,15,Pará,2000,IDH,Total,Total,0.518
217,15,Pará,2010,IDH,Educação,Total,0.528
218,15,Pará,2010,IDH,Longevidade,Total,0.789
219,15,Pará,2010,IDH,Renda,Total,0.646
220,15,Pará,2010,IDH,Total,Total,0.646
221,15,Pará,2012,IDH,Educação,Total,0.583
222,15,Pará,2012,IDH,Longevidade,Total,0.771
223,15,Pará,2012,IDH,Renda,Total,0.658
224,15,Pará,2012,IDH,Total,Total,0.666
225,15,Pará,2013,IDH,Educação,Total,0.592
226,15,Pará,2013,IDH,Longevidade,Total,0.774
227,15,Pará,2013,IDH,Renda,Total,0.66
228,15,Pará,2013,IDH,Total,Total,0.671
229,15,Pará,2014,IDH,Educação,Total,0.623
230,15,Pará,2014,IDH,Longevidade,Total,0.777
231,15,Pará,2014,IDH,Renda,Total,0.66
232,15,Pará,2014,IDH,Total,Total,0.684
233,15,Pará,2015,IDH,Educação,Total,0.638
234,15,Pará,2015,IDH,Longevidade,Total,0.781
235,15,Pará,2015,IDH,Renda,Total,0.656
236,15,Pará,2015,IDH,Total,Total,0.689
237,15,Pará,2016,IDH,Educação,Total,0.641
238,15,Pará,2016,IDH,Longevidade,Total,0.784
239,15,Pará,2016,IDH,Renda,Total,0.646
240,15,Pará,2016,IDH,Total,Total,0.687
241,15,Pará,2017,IDH,Educação,Total,0.657
242,15,Pará,2017,IDH,Longevidade,Total,0.787
243,15,Pará,2017,IDH,Renda,Total,0.647
244,15,Pará,2017,IDH,Total,Total,0.694
245,15,Pará,2018,IDH,Educação,Total,0.671
246,15,Pará,2018,IDH,Longevidade,Total,0.79
247,15,Pará,2018,IDH,Renda,Total,0.667
248,15,Pará,2018,IDH,Total,Total,0.707
249,15,Pará,2019,IDH,Educação,Total,0.677
250,15,Pará,2019,IDH,Longevidade,Total,0.793
251,15,Pará,2019,IDH,Renda,Total,0.651
252,15,Pará,2019,IDH,Total,Total,0.704
253,15,Pará,2020,IDH,Educação,Total,0.713
254,15,Pará,2020,IDH,Longevidade,Total,0.784
255,15,Pará,2020,IDH,Renda,Total,0.664
256,15,Pará,2020,IDH,Total,Total,0.719
257,15,Pará,2021,IDH,Educação,Total,0.686
258,15,Pará,2021,IDH,Longevidade,Total,0.744
259,15,Pará,2021,IDH,Renda,Total,0.645
260,15,Pará,2021,IDH,Total,Total,0.69
261,16,Amapá,1991,IDH,Educação,Total,0.254
262,16,Amapá,1991,IDH,Longevidade,Total,0.668
263,16,Amapá,1991,IDH,Renda,Total,0.62
264,16,Amapá,1991,IDH,Total,Total,0.472
265,16,Amapá,2000,IDH,Educação,Total,0.424
266,16,Amapá,2000,IDH,Longevidade,Total,0.711
267,16,Amapá,2000,IDH,Renda,Total,0.638
268,16,Amapá,2000,IDH,Total,Total,0.577
269,16,Amapá,2010,IDH,Educação,Total,0.629
270,16,Amapá,2010,IDH,Longevidade,Total,0.813
271,16,Amapá,2010,IDH,Renda,Total,0.694
272,16,Amapá,2010,IDH,Total,Total,0.708
273,16,Amapá,2012,IDH,Educação,Total,0.659
274,16,Amapá,2012,IDH,Longevidade,Total,0.796
275,16,Amapá,2012,IDH,Renda,Total,0.673
276,16,Amapá,2012,IDH,Total,Total,0.707
277,16,Amapá,2013,IDH,Educação,Total,0.714
278,16,Amapá,2013,IDH,Longevidade,Total,0.801
279,16,Amapá,2013,IDH,Renda,Total,0.691
280,16,Amapá,2013,IDH,Total,Total,0.734
281,16,Amapá,2014,IDH,Educação,Total,0.688
282,16,Amapá,2014,IDH,Longevidade,Total,0.806
283,16,Amapá,2014,IDH,Renda,Total,0.687
284,16,Amapá,2014,IDH,Total,Total,0.725
285,16,Amapá,2015,IDH,Educação,Total,0.69
286,16,Amapá,2015,IDH,Longevidade,Total,0.811
287,16,Amapá,2015,IDH,Renda,Total,0.69
288,16,Amapá,2015,IDH,Total,Total,0.728
289,16,Amapá,2016,IDH,Educação,Total,0.709
290,16,Amapá,2016,IDH,Longevidade,Total,0.815
291,16,Amapá,2016,IDH,Renda,Total,0.682
292,16,Amapá,2016,IDH,Total,Total,0.733
293,16,Amapá,2017,IDH,Educação,Total,0.7
294,16,Amapá,2017,IDH,Longevidade,Total,0.82
295,16,Amapá,2017,IDH,Renda,Total,0.683
296,16,Amapá,2017,IDH,Total,Total,0.732
297,16,Amapá,2018,IDH,Educação,Total,0.742
298,16,Amapá,2018,IDH,Longevidade,Total,0.824
299,16,Amapá,2018,IDH,Renda,Total,0.666
300,16,Amapá,2018,IDH,Total,Total,0.741
301,16,Amapá,2019,IDH,Educação,Total,0.728
302,16,Amapá,2019,IDH,Longevidade,Total,0.828
303,16,Amapá,2019,IDH,Renda,Total,0.665
304,16,Amapá,2019,IDH,Total,Total,0.737
305,16,Amapá,2020,IDH,Educação,Total,0.701
306,16,Amapá,2020,IDH,Longevidade,Total,0.815
307,16,Amapá,2020,IDH,Renda,Total,0.663
308,16,Amapá,2020,IDH,Total,Total,0.724
309,16,Amapá,2021,IDH,Educação,Total,0.647
310,16,Amapá,2021,IDH,Longevidade,Total,0.778
311,16,Amapá,2021,IDH,Renda,Total,0.648
312,16,Amapá,2021,IDH,Total,Total,0.688
313,17,Tocantins,1991,IDH,Educação,Total,0.155
314,17,Tocantins,1991,IDH,Longevidade,Total,0.589
315,17,Tocantins,1991,IDH,Renda,Total,0.549
316,17,Tocantins,1991,IDH,Total,Total,0.369
317,17,Tocantins,2000,IDH,Educação,Total,0.348
318,17,Tocantins,2000,IDH,Longevidade,Total,0.688
319,17,Tocantins,2000,IDH,Renda,Total,0.605
320,17,Tocantins,2000,IDH,Total,Total,0.525
321,17,Tocantins,2010,IDH,Educação,Total,0.624
322,17,Tocantins,2010,IDH,Longevidade,Total,0.793
323,17,Tocantins,2010,IDH,Renda,Total,0.69
324,17,Tocantins,2010,IDH,Total,Total,0.699
325,17,Tocantins,2012,IDH,Educação,Total,0.676
326,17,Tocantins,2012,IDH,Longevidade,Total,0.785
327,17,Tocantins,2012,IDH,Renda,Total,0.674
328,17,Tocantins,2012,IDH,Total,Total,0.71
329,17,Tocantins,2013,IDH,Educação,Total,0.691
330,17,Tocantins,2013,IDH,Longevidade,Total,0.79
331,17,Tocantins,2013,IDH,Renda,Total,0.68
332,17,Tocantins,2013,IDH,Total,Total,0.719
333,17,Tocantins,2014,IDH,Educação,Total,0.729
334,17,Tocantins,2014,IDH,Longevidade,Total,0.795
335,17,Tocantins,2014,IDH,Renda,Total,0.692
336,17,Tocantins,2014,IDH,Total,Total,0.737
337,17,Tocantins,2015,IDH,Educação,Total,0.707
338,17,Tocantins,2015,IDH,Longevidade,Total,0.8
339,17,Tocantins,2015,IDH,Renda,Total,0.688
340,17,Tocantins,2015,IDH,Total,Total,0.73
341,17,Tocantins,2016,IDH,Educação,Total,0.723
342,17,Tocantins,2016,IDH,Longevidade,Total,0.805
343,17,Tocantins,2016,IDH,Renda,Total,0.679
344,17,Tocantins,2016,IDH,Total,Total,0.734
345,17,Tocantins,2017,IDH,Educação,Total,0.729
346,17,Tocantins,2017,IDH,Longevidade,Total,0.809
347,17,Tocantins,2017,IDH,Renda,Total,0.687
348,17,Tocantins,2017,IDH,Total,Total,0.74
349,17,Tocantins,2018,IDH,Educação,Total,0.741
350,17,Tocantins,2018,IDH,Longevidade,Total,0.814
351,17,Tocantins,2018,IDH,Renda,Total,0.698
352,17,Tocantins,2018,IDH,Total,Total,0.749
353,17,Tocantins,2019,IDH,Educação,Total,0.747
354,17,Tocantins,2019,IDH,Longevidade,Total,0.818
355,17,Tocantins,2019,IDH,Renda,Total,0.693
356,17,Tocantins,2019,IDH,Total,Total,0.751
357,17,Tocantins,2020,IDH,Educação,Total,0.763
358,17,Tocantins,2020,IDH,Longevidade,Total,0.817
359,17,Tocantins,2020,IDH,Renda,Total,0.691
360,17,Tocantins,2020,IDH,Total,Total,0.755
361,17,Tocantins,2021,IDH,Educação,Total,0.732
362,17,Tocantins,2021,IDH,Longevidade,Total,0.779
363,17,Tocantins,2021,IDH,Renda,Total,0.684
364,17,Tocantins,2021,IDH,Total,Total,0.731
365,21,Maranhão,1991,IDH,Educação,Total,0.173
366,21,Maranhão,1991,IDH,Longevidade,Total,0.551
367,21,Maranhão,1991,IDH,Renda,Total,0.478
368,21,Maranhão,1991,IDH,Total,Total,0.357
369,21,Maranhão,2000,IDH,Educação,Total,0.312
370,21,Maranhão,2000,IDH,Longevidade,Total,0.649
371,21,Maranhão,2000,IDH,Renda,Total,0.531
372,21,Maranhão,2000,IDH,Total,Total,0.476
373,21,Maranhão,2010,IDH,Educação,Total,0.562
374,21,Maranhão,2010,IDH,Longevidade,Total,0.757
375,21,Maranhão,2010,IDH,Renda,Total,0.612
376,21,Maranhão,2010,IDH,Total,Total,0.639
377,21,Maranhão,2012,IDH,Educação,Total,0.611
378,21,Maranhão,2012,IDH,Longevidade,Total,0.739
379,21,Maranhão,2012,IDH,Renda,Total,0.602
380,21,Maranhão,2012,IDH,Total,Total,0.648
381,21,Maranhão,2013,IDH,Educação,Total,0.639
382,21,Maranhão,2013,IDH,Longevidade,Total,0.744
383,21,Maranhão,2013,IDH,Renda,Total,0.607
384,21,Maranhão,2013,IDH,Total,Total,0.661
385,21,Maranhão,2014,IDH,Educação,Total,0.639
386,21,Maranhão,2014,IDH,Longevidade,Total,0.749
387,21,Maranhão,2014,IDH,Renda,Total,0.61
388,21,Maranhão,2014,IDH,Total,Total,0.663
389,21,Maranhão,2015,IDH,Educação,Total,0.649
390,21,Maranhão,2015,IDH,Longevidade,Total,0.754
391,21,Maranhão,2015,IDH,Renda,Total,0.613
392,21,Maranhão,2015,IDH,Total,Total,0.669
393,21,Maranhão,2016,IDH,Educação,Total,0.673
394,21,Maranhão,2016,IDH,Longevidade,Total,0.759
395,21,Maranhão,2016,IDH,Renda,Total,0.615
396,21,Maranhão,2016,IDH,Total,Total,0.68
397,21,Maranhão,2017,IDH,Educação,Total,0.684
398,21,Maranhão,2017,IDH,Longevidade,Total,0.764
399,21,Maranhão,2017,IDH,Renda,Total,0.616
400,21,Maranhão,2017,IDH,Total,Total,0.685
401,21,Maranhão,2018,IDH,Educação,Total,0.685
402,21,Maranhão,2018,IDH,Longevidade,Total,0.769
403,21,Maranhão,2018,IDH,Renda,Total,0.613
404,21,Maranhão,2018,IDH,Total,Total,0.686
405,21,Maranhão,2019,IDH,Educação,Total,0.704
406,21,Maranhão,2019,IDH,Longevidade,Total,0.773
407,21,Maranhão,2019,IDH,Renda,Total,0.614
408,21,Maranhão,2019,IDH,Total,Total,0.694
409,21,Maranhão,2020,IDH,Educação,Total,0.726
410,21,Maranhão,2020,IDH,Longevidade,Total,0.758
411,21,Maranhão,2020,IDH,Renda,Total,0.621
412,21,Maranhão,2020,IDH,Total,Total,0.699
413,21,Maranhão,2021,IDH,Educação,Total,0.716
414,21,Maranhão,2021,IDH,Longevidade,Total,0.715
415,21,Maranhão,2021,IDH,Renda,Total,0.603
416,21,Maranhão,2021,IDH,Total,Total,0.676
417,22,Piauí,1991,IDH,Educação,Total,0.164
418,22,Piauí,1991,IDH,Longevidade,Total,0.595
419,22,Piauí,1991,IDH,Renda,Total,0.488
420,22,Piauí,1991,IDH,Total,Total,0.362
421,22,Piauí,2000,IDH,Educação,Total,0.301
422,22,Piauí,2000,IDH,Longevidade,Total,0.676
423,22,Piauí,2000,IDH,Renda,Total,0.556
424,22,Piauí,2000,IDH,Total,Total,0.484
425,22,Piauí,2010,IDH,Educação,Total,0.547
426,22,Piauí,2010,IDH,Longevidade,Total,0.777
427,22,Piauí,2010,IDH,Renda,Total,0.635
428,22,Piauí,2010,IDH,Total,Total,0.646
429,22,Piauí,2012,IDH,Educação,Total,0.6
430,22,Piauí,2012,IDH,Longevidade,Total,0.753
431,22,Piauí,2012,IDH,Renda,Total,0.635
432,22,Piauí,2012,IDH,Total,Total,0.66
433,22,Piauí,2013,IDH,Educação,Total,0.623
434,22,Piauí,2013,IDH,Longevidade,Total,0.756
435,22,Piauí,2013,IDH,Renda,Total,0.666
436,22,Piauí,2013,IDH,Total,Total,0.679
437,22,Piauí,2014,IDH,Educação,Total,0.639
438,22,Piauí,2014,IDH,Longevidade,Total,0.76
439,22,Piauí,2014,IDH,Renda,Total,0.665
440,22,Piauí,2014,IDH,Total,Total,0.686
441,22,Piauí,2015,IDH,Educação,Total,0.643
442,22,Piauí,2015,IDH,Longevidade,Total,0.763
443,22,Piauí,2015,IDH,Renda,Total,0.668
444,22,Piauí,2015,IDH,Total,Total,0.689
445,22,Piauí,2016,IDH,Educação,Total,0.642
446,22,Piauí,2016,IDH,Longevidade,Total,0.766
447,22,Piauí,2016,IDH,Renda,Total,0.655
448,22,Piauí,2016,IDH,Total,Total,0.685
449,22,Piauí,2017,IDH,Educação,Total,0.665
450,22,Piauí,2017,IDH,Longevidade,Total,0.769
451,22,Piauí,2017,IDH,Renda,Total,0.653
452,22,Piauí,2017,IDH,Total,Total,0.694
453,22,Piauí,2018,IDH,Educação,Total,0.671
454,22,Piauí,2018,IDH,Longevidade,Total,0.772
455,22,Piauí,2018,IDH,Renda,Total,0.658
456,22,Piauí,2018,IDH,Total,Total,0.699
457,22,Piauí,2019,IDH,Educação,Total,0.692
458,22,Piauí,2019,IDH,Longevidade,Total,0.775
459,22,Piauí,2019,IDH,Renda,Total,0.657
460,22,Piauí,2019,IDH,Total,Total,0.706
461,22,Piauí,2020,IDH,Educação,Total,0.7
462,22,Piauí,2020,IDH,Longevidade,Total,0.768
463,22,Piauí,2020,IDH,Renda,Total,0.659
464,22,Piauí,2020,IDH,Total,Total,0.708
465,22,Piauí,2021,IDH,Educação,Total,0.698
466,22,Piauí,2021,IDH,Longevidade,Total,0.726
467,22,Piauí,2021,IDH,Renda,Total,0.649
468,22,Piauí,2021,IDH,Total,Total,0.69
469,23,Ceará,1991,IDH,Educação,Total,0.204
470,23,Ceará,1991,IDH,Longevidade,Total,0.613
471,23,Ceará,1991,IDH,Renda,Total,0.532
472,23,Ceará,1991,IDH,Total,Total,0.405
473,23,Ceará,2000,IDH,Educação,Total,0.377
474,23,Ceará,2000,IDH,Longevidade,Total,0.713
475,23,Ceará,2000,IDH,Renda,Total,0.588
476,23,Ceará,2000,IDH,Total,Total,0.541
477,23,Ceará,2010,IDH,Educação,Total,0.615
478,23,Ceará,2010,IDH,Longevidade,Total,0.793
479,23,Ceará,2010,IDH,Renda,Total,0.651
480,23,Ceará,2010,IDH,Total,Total,0.682
481,23,Ceará,2012,IDH,Educação,Total,0.667
482,23,Ceará,2012,IDH,Longevidade,Total,0.796
483,23,Ceará,2012,IDH,Renda,Total,0.648
484,23,Ceará,2012,IDH,Total,Total,0.701
485,23,Ceará,2013,IDH,Educação,Total,0.667
486,23,Ceará,2013,IDH,Longevidade,Total,0.801
487,23,Ceará,2013,IDH,Renda,Total,0.656
488,23,Ceará,2013,IDH,Total,Total,0.705
489,23,Ceará,2014,IDH,Educação,Total,0.679
490,23,Ceará,2014,IDH,Longevidade,Total,0.804
491,23,Ceará,2014,IDH,Renda,Total,0.656
492,23,Ceará,2014,IDH,Total,Total,0.71
493,23,Ceará,2015,IDH,Educação,Total,0.689
494,23,Ceará,2015,IDH,Longevidade,Total,0.808
495,23,Ceará,2015,IDH,Renda,Total,0.657
496,23,Ceará,2015,IDH,Total,Total,0.715
497,23,Ceará,2016,IDH,Educação,Total,0.708
498,23,Ceará,2016,IDH,Longevidade,Total,0.812
499,23,Ceará,2016,IDH,Renda,Total,0.656
500,23,Ceará,2016,IDH,Total,Total,0.722
501,23,Ceará,2017,IDH,Educação,Total,0.715
502,23,Ceará,2017,IDH,Longevidade,Total,0.816
503,23,Ceará,2017,IDH,Renda,Total,0.666
504,23,Ceará,2017,IDH,Total,Total,0.73
505,23,Ceará,2018,IDH,Educação,Total,0.74
506,23,Ceará,2018,IDH,Longevidade,Total,0.819
507,23,Ceará,2018,IDH,Renda,Total,0.666
